ID_Transaccion;Edad;Numero_items_comprados;Ingreso_mensual;Genero;Gasto_total
TXN259;24;10;4976;Masculino;6976,784937
TXN260;32;7;24120;Masculino;11267,00936
TXN261;60;9;13642;Femenino;5063,704875
TXN262;34;2;14171;Masculino;4276,496156
TXN263;37;1;20375;Masculino;4781,827112
TXN264;30;3;29109;Masculino;10405,75329
TXN265;33;12;19171;Femenino;4187,869285
TXN266;49;7;15454;Masculino;3655,126065
TXN267;46;12;28696;Masculino;6050,633691
TXN268;46;12;22952;Masculino;4992,535436
TXN269;58;3;2138;Masculino;1793,612001
TXN270;45;7;2596;Masculino;2526,66952
TXN271;30;6;19226;Masculino;5938,594463
TXN272;31;5;25605;Femenino;5699,084874
TXN273;21;9;12893;Masculino;7002,845154
TXN274;28;11;13017;Femenino;10989,22083
TXN275;39;3;6100;Masculino;2300,339359
TXN276;49;10;14726;Femenino;7155,482199
TXN277;40;6;11836;Masculino;3347,558069
TXN278;51;14;26481;Femenino;11526,71689
TXN279;47;8;2530;Femenino;4921,065173
TXN280;34;6;11562;Femenino;3972,109262
TXN281;43;4;27679;Femenino;5121,613245
TXN282;47;8;25662;Masculino;5184,325172
TXN283;41;10;6570;Femenino;7003,197841
TXN284;57;7;3312;Femenino;4144,14136
TXN285;50;6;11186;Femenino;8965,23879
TXN286;29;10;15947;Masculino;3736,665678
TXN287;35;1;29244;Femenino;5642,992383
TXN288;57;1;29632;Femenino;5811,454465
TXN289;22;8;7517;Masculino;4898,648355
TXN290;28;1;21794;Femenino;4096,362168
TXN291;21;10;16566;Femenino;4515,668419
TXN292;31;10;28576;Femenino;5238,992832
TXN293;36;8;4725;Femenino;3556,937885
TXN294;49;7;24106;Femenino;8344,020638
TXN295;38;1;21598;Masculino;6213,939827
TXN296;46;6;11947;Masculino;4155,264534
TXN297;22;11;27060;Masculino;5597,981396
TXN298;52;14;15568;Femenino;4752,586333
TXN299;43;13;14903;Femenino;5340,536418
TXN300;44;3;27199;Femenino;5617,712512
TXN301;32;7;29049;Femenino;5523,448307
TXN302;46;4;10193;Masculino;3071,237078
TXN303;32;10;8243;Masculino;2813,910509
TXN304;35;1;23949;Masculino;7437,613568
TXN305;44;10;17466;Masculino;4193,036685
TXN306;29;11;14693;Masculino;11614,56901
TXN307;35;10;17221;Masculino;10376,03502
TXN308;45;5;7589;Femenino;4688,535127
TXN309;42;1;16183;Masculino;6007,550111
TXN310;57;6;9283;Femenino;2696,886012
TXN311;48;10;3611;Masculino;6946,601618
TXN312;37;2;16285;Femenino;3497,60341
TXN313;45;4;24221;Masculino;9795,462681
TXN314;21;15;28115;Femenino;7208,048738
TXN315;26;1;14906;Masculino;3735,04077
TXN316;25;6;14028;Masculino;3234,07162
TXN317;35;3;3147;Femenino;6194,341775
TXN318;33;3;8540;Femenino;2391,544986
TXN319;20;7;16357;Masculino;4309,986134
TXN320;25;8;22417;Femenino;10667,20746
TXN321;36;14;6894;Femenino;2509,812618
TXN322;55;12;17479;Femenino;11830,55102
TXN323;21;9;29226;Femenino;9037,453976
TXN324;20;12;3776;Femenino;3487,874609
TXN325;25;6;22879;Masculino;8260,568836
TXN326;60;3;24998;Femenino;4954,085713
TXN327;47;7;15864;Femenino;3680,570646
TXN328;30;10;18149;Masculino;5866,574932
TXN329;33;3;18009;Masculino;4047,434831
TXN330;33;12;14270;Femenino;3524,242679
TXN331;30;6;8558;Masculino;2680,693121
TXN332;41;12;26959;Femenino;13108,8293
TXN333;54;13;9537;Femenino;6265,645236
TXN334;55;15;11882;Femenino;3331,08013
TXN335;60;12;13737;Masculino;11704,30369
TXN336;45;15;11594;Masculino;8193,316201
TXN337;23;2;8596;Masculino;4018,672222
TXN338;54;7;8323;Femenino;2493,463585
TXN339;57;1;10828;Masculino;3899,252681
TXN340;46;7;6772;Masculino;4018,245937
TXN341;26;5;21660;Femenino;6681,995468
TXN342;42;2;18286;Masculino;8673,86341
TXN343;39;11;22716;Masculino;4755,863746
TXN344;28;2;5435;Femenino;6470,778197
TXN345;53;8;20529;Masculino;4549,299256
TXN346;54;8;18607;Femenino;11736,62901
TXN347;26;7;24021;Femenino;7037,240938
TXN348;49;9;28945;Femenino;5610,233664
TXN349;37;2;7627;Masculino;3362,547822
TXN350;52;6;27767;Masculino;10455,43887
TXN351;35;10;18023;Femenino;11833,74304
TXN352;28;10;3238;Masculino;3649,264437
TXN353;52;4;19155;Femenino;3890,821818
TXN354;60;14;8065;Femenino;3752,486252
TXN355;46;4;20226;Femenino;4483,430732
TXN356;23;15;7073;Femenino;7128,758426
TXN357;58;9;5589;Masculino;2305,912694
TXN358;52;4;20630;Masculino;4318,657264
TXN359;30;2;11371;Femenino;10497,83125
TXN360;57;10;24425;Femenino;7463,887474
TXN361;50;6;20384;Femenino;5844,625118
TXN362;59;5;20385;Femenino;12026,10189
TXN363;39;7;28206;Femenino;13120,43237
TXN364;46;5;15293;Femenino;11149,54346
TXN365;56;15;29019;Masculino;8857,391811
TXN366;45;6;23181;Masculino;9666,725462
TXN367;50;3;29839;Masculino;9367,844849
TXN368;52;4;27118;Masculino;11709,84843
TXN369;30;1;23157;Masculino;8298,21474
TXN370;20;1;23468;Femenino;4792,754448
TXN371;40;15;12902;Masculino;11541,09284
TXN372;29;5;15823;Femenino;7948,067736
TXN373;45;14;29363;Masculino;6088,3802
TXN374;45;7;7784;Masculino;2783,676299
TXN375;44;11;4520;Femenino;2158,571617
TXN376;56;10;18660;Masculino;8142,735514
TXN377;31;9;16943;Masculino;4812,892478
TXN378;34;10;4323;Femenino;2531,714406
TXN379;52;6;29849;Femenino;8066,687175
TXN380;27;10;14902;Femenino;3091,635702
TXN381;43;13;27125;Masculino;6267,371965
TXN382;44;4;24321;Masculino;11095,91046
TXN383;59;2;9110;Femenino;2796,014376
TXN384;20;4;7848;Femenino;8389,805173
TXN385;56;13;5544;Masculino;2577,088021
TXN386;25;2;29093;Femenino;6772,683009
TXN387;40;11;10000;Femenino;9110,572771
TXN388;29;3;12829;Femenino;4545,66523
TXN389;53;8;9215;Femenino;10349,27878
TXN390;53;6;17161;Femenino;3809,953878
TXN391;52;14;8455;Femenino;6215,577418
TXN392;39;12;29008;Femenino;7368,826495
TXN393;49;9;9405;Masculino;10737,21724
TXN394;40;13;3898;Femenino;2214,545175
TXN395;38;7;26488;Masculino;7908,93941
TXN396;20;1;29901;Masculino;6551,051677
TXN397;59;10;17890;Femenino;5844,974355
TXN398;38;15;12490;Femenino;6776,499537
TXN399;52;5;10890;Masculino;4112,969689
TXN400;58;5;13400;Masculino;5877,967965
TXN401;55;2;2440;Masculino;3365,483211
TXN402;55;10;27314;Femenino;13268,69894
TXN403;49;5;22593;Masculino;9508,550971
TXN404;25;10;10383;Masculino;9104,497666
TXN405;54;8;19948;Femenino;5184,482498
TXN406;33;6;17798;Masculino;4941,758438
TXN407;28;15;21953;Masculino;4974,537207
TXN408;47;9;24936;Femenino;8562,270035
TXN409;51;1;14673;Femenino;4173,702779
TXN410;37;10;15282;Femenino;8259,157489
TXN411;35;10;13679;Masculino;3728,540235
TXN412;21;7;25388;Masculino;6786,153582
TXN413;55;2;14691;Femenino;5899,974008
TXN414;58;15;23542;Femenino;8708,055035
TXN415;56;1;19350;Femenino;11750,10582
TXN416;44;4;18016;Femenino;11471,30101
TXN417;23;3;8487;Masculino;4273,72977
TXN418;25;7;21455;Femenino;7705,765491
TXN419;58;13;15364;Femenino;4727,048956
TXN420;47;12;28689;Femenino;13526,20513
TXN421;51;1;19151;Masculino;4692,954311
TXN422;36;3;27272;Masculino;5377,769336
TXN423;51;4;29103;Femenino;7989,400524
TXN424;60;2;28549;Masculino;9123,366476
TXN425;37;4;7037;Femenino;2159,50314
TXN426;47;11;21153;Femenino;4531,188633
TXN427;28;1;11297;Masculino;10775,3975
TXN428;54;9;29085;Masculino;6995,533359
TXN429;52;10;10586;Femenino;2844,479664
TXN430;49;11;2986;Masculino;2116,52676
TXN431;36;8;10518;Femenino;4524,278201
TXN432;26;13;21768;Masculino;4888,5221
TXN433;39;13;23953;Masculino;5201,23692
TXN434;21;15;28400;Masculino;8441,56157
TXN435;38;2;20861;Femenino;4973,402875
TXN436;41;15;20453;Femenino;6916,092042
TXN437;24;13;27626;Femenino;10362,38894
TXN438;58;7;21048;Masculino;5198,126586
TXN439;45;9;22684;Masculino;4852,364558
TXN440;21;8;9034;Femenino;2741,393868
TXN441;39;2;16990;Masculino;3614,317308
TXN442;47;2;29579;Femenino;5987,622602
TXN443;55;13;14426;Masculino;3910,866044
TXN444;49;3;23145;Masculino;5445,468372
TXN445;59;4;17845;Masculino;6480,207995
TXN446;24;14;16405;Masculino;7666,836791
TXN447;40;14;24885;Masculino;6544,250946
TXN448;33;14;7940;Femenino;5192,049432
TXN449;55;8;28624;Femenino;8832,310959
TXN450;23;5;12049;Masculino;3119,297976
TXN451;25;8;19520;Masculino;4363,279513
TXN452;27;2;7117;Femenino;8254,618591
TXN453;26;7;25581;Masculino;8769,743417
TXN454;42;5;4319;Masculino;3716,8381
TXN455;36;4;25241;Femenino;5076,641767
TXN456;49;6;10079;Masculino;2935,461969
TXN457;52;7;19424;Masculino;6040,954922
TXN458;55;10;6834;Masculino;3628,155008
TXN459;40;9;18763;Femenino;11866,95809
TXN460;22;11;2456;Masculino;9781,167786
TXN461;60;4;28245;Masculino;13504,55118
TXN462;29;15;11777;Masculino;8195,582483
TXN463;49;11;16157;Masculino;4632,939456
TXN464;47;8;21647;Femenino;6039,80755
TXN465;32;5;16815;Masculino;4785,098033
TXN466;60;7;20826;Femenino;10569,21428
TXN467;31;1;4077;Femenino;3928,158663
TXN468;34;11;26664;Femenino;7039,648864
TXN469;35;8;21182;Femenino;6001,833762
TXN470;22;14;17917;Masculino;5931,377133
TXN471;42;14;10348;Femenino;9078,460687
TXN472;36;10;3695;Femenino;6609,781392
TXN473;46;10;9848;Masculino;9306,146261
TXN474;60;4;11375;Femenino;4311,785568
TXN475;49;2;18138;Masculino;6381,239374
TXN476;24;3;10956;Masculino;8828,890545
TXN477;38;5;6303;Masculino;2379,012367
TXN478;44;6;29876;Masculino;10722,99214
TXN479;26;6;11556;Femenino;2721,167968
TXN480;54;13;3324;Femenino;4498,865067
TXN481;25;4;29188;Femenino;10140,52742
TXN482;32;10;20663;Femenino;9102,782971
TXN483;21;7;4604;Femenino;2572,598078
TXN484;50;13;20228;Masculino;8427,793962
TXN485;51;6;8226;Femenino;2799,766673
TXN486;52;2;2160;Masculino;1512,409264
TXN487;44;9;27111;Femenino;13220,70142
TXN488;57;15;6134;Femenino;7258,445245
TXN489;23;5;16509;Masculino;3744,915399
TXN490;41;1;12443;Femenino;2725,343071
TXN491;59;10;5098;Masculino;2966,883137
TXN492;55;7;19983;Masculino;5019,471949
TXN493;52;5;6312;Femenino;2398,52748
TXN494;20;3;26237;Femenino;5126,99115
TXN495;48;1;2739;Masculino;3204,676757
TXN496;22;6;25401;Femenino;5859,304072
TXN497;35;5;28187;Femenino;6328,079405
TXN498;49;7;15279;Masculino;4467,386764
TXN499;49;1;25882;Femenino;5214,607671
TXN500;41;10;2873;Femenino;9531,20893
TXN501;25;5;28694;Femenino;10169,43253
TXN502;57;2;2996;Femenino;1376,822765
TXN503;30;1;22721;Femenino;4691,992571
TXN504;36;8;9652;Femenino;2720,989664
TXN505;52;10;8467;Masculino;2840,905889
TXN506;50;10;27942;Femenino;13342,39967
TXN507;46;3;13333;Masculino;4306,163625
TXN508;30;9;17014;Femenino;6232,664446
TXN509;37;8;11652;Masculino;8160,528367
TXN510;45;13;19075;Masculino;6267,767596
TXN511;39;7;6903;Masculino;2569,550869
TXN512;42;3;3353;Femenino;4009,898906
TXN513;38;6;25773;Masculino;10091,37649
TXN514;30;3;4481;Femenino;2615,808631
TXN515;44;15;3407;Masculino;2357,364194
TXN516;28;12;7905;Masculino;3243,488253
TXN517;24;9;5632;Masculino;2415,191851
TXN518;48;5;26491;Masculino;5599,244327
TXN519;48;1;24302;Femenino;6079,143285
TXN520;58;10;25999;Masculino;8993,250266
TXN521;25;1;19543;Femenino;4637,869709
TXN522;52;10;28169;Femenino;9069,387954
TXN523;59;11;16885;Femenino;7341,038849
TXN524;30;15;17822;Femenino;3903,430082
TXN525;50;13;12536;Masculino;4500,434667
TXN526;54;9;23073;Masculino;12914,20564
TXN527;58;14;29677;Masculino;12444,71201
TXN528;42;2;3185;Masculino;4359,010335
TXN529;43;10;13794;Masculino;3669,518009
TXN530;53;1;7345;Masculino;5879,657498
TXN531;43;8;16354;Masculino;8532,672406
TXN532;58;5;23066;Femenino;4505,47588
TXN533;50;3;14093;Masculino;11288,45257
TXN534;38;8;15564;Masculino;7431,101947
TXN535;32;4;2258;Masculino;1605,559863
TXN536;39;4;2794;Femenino;2273,933857
TXN537;23;5;8355;Masculino;5071,237037
TXN538;38;13;17353;Femenino;11716,89577
TXN539;33;15;24744;Masculino;8933,529389
TXN540;51;2;28208;Femenino;8783,118812
TXN541;30;5;11553;Femenino;3350,540203
TXN542;43;8;11109;Masculino;4914,436494
TXN543;42;1;13476;Masculino;6826,970545
TXN544;53;6;8959;Femenino;4989,300868
TXN545;37;3;9062;Femenino;2221,755964
TXN546;47;5;17327;Masculino;5577,91547
TXN547;31;6;17793;Femenino;10064,24395
TXN548;57;15;22844;Femenino;4959,217676
TXN549;32;10;19408;Masculino;9366,548125
TXN550;51;2;8347;Femenino;4624,015726
TXN551;32;4;24826;Femenino;5143,153731
TXN552;35;3;13819;Femenino;3436,684815
TXN553;51;7;17115;Masculino;10248,91348
TXN554;60;13;6275;Femenino;5934,538371
TXN555;30;12;29634;Masculino;7042,363598
TXN556;21;7;11527;Femenino;2932,793352
TXN557;43;13;28535;Femenino;13441,43075
TXN558;30;11;29672;Masculino;13877,10456
TXN559;40;10;12960;Masculino;11304,52605
TXN560;36;5;25599;Masculino;8573,164248
TXN561;59;14;25138;Femenino;7854,042568
TXN562;54;4;25388;Masculino;11445,18636
TXN563;21;14;24330;Masculino;8823,487036
TXN564;43;7;18541;Femenino;10247,12471
TXN565;27;12;5197;Masculino;5901,982478
TXN566;58;14;15963;Femenino;3797,590168
TXN567;53;6;26120;Femenino;11158,97787
TXN568;44;10;29549;Femenino;12018,4558
TXN569;34;6;13680;Masculino;3807,326005
TXN570;38;9;9268;Femenino;3695,950278
TXN571;47;6;9414;Masculino;6432,304207
TXN572;47;7;27337;Femenino;5422,272187
TXN573;23;10;25442;Femenino;11118,4878
TXN574;38;4;21514;Femenino;5057,2561
TXN575;30;15;10794;Femenino;2791,356355
TXN576;24;15;26663;Femenino;13168,79628
TXN577;60;5;18689;Masculino;9118,987649
TXN578;60;9;4480;Masculino;7072,947225
TXN579;35;12;24818;Masculino;5239,8442
TXN580;55;13;16841;Masculino;10555,72065
TXN581;44;7;17600;Masculino;6511,519138
TXN582;29;5;26274;Femenino;6482,929396
TXN583;32;15;29186;Masculino;7557,964186
TXN584;45;13;26445;Masculino;9257,378978
TXN585;29;8;16672;Femenino;3465,000587
TXN586;59;1;12384;Femenino;5357,119986
TXN587;25;15;18716;Femenino;8893,142627
TXN588;57;9;14428;Masculino;3818,208838
TXN589;28;12;12922;Masculino;4552,892048
TXN590;57;7;4141;Masculino;2521,799031
TXN591;23;3;26769;Femenino;5314,557968
TXN592;50;11;7287;Masculino;10672,81939
TXN593;44;14;11488;Masculino;4326,323645
TXN594;32;14;8278;Femenino;3590,701497
TXN595;26;8;15173;Femenino;11323,6766
TXN596;45;11;21509;Femenino;6178,021057
TXN597;32;9;11267;Masculino;3116,175805
TXN598;45;4;27114;Masculino;5166,130007
TXN599;21;10;27729;Masculino;5531,684996
TXN600;43;15;23809;Femenino;5585,402006
TXN601;29;11;10207;Masculino;3644,468143
TXN602;31;2;20357;Masculino;7759,125512
TXN603;39;1;11368;Masculino;2935,044275
TXN604;42;3;21125;Femenino;4157,16762
